Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Digikey,Description,Sim.Device,Sim.Type,Sim.Pins
"BUT_R1, BUT_R2, BUT_R3, BUT_R4, I2C_R1, I2C_R2, LLS_R2, MLX_R1, MLX_R2, STM_R3, S_R1",11,10k,R_1206_3216Metric,,,,smt,311-10.0KFRCT-ND,,,,
BUZ_D1,1,BAT54T1G,D_SOD-123,,,,smt,BAT54T1GOSCT-ND,,,,
BUZ_R1,1,50R,R_1206_3216Metric,,,,smt,541-TNPW120650R0BEENCT-ND,,,,
"BUZ_R2, STM_R2",2,1k5,R_1206_3216Metric,,,,smt,541-4184-1-ND,,,,
BZ1,1,SMTB-0927-TW-R,Buzzer_D14mm_H7mm_P10mm,,,,tht,668-SMTB-0927-TW-RCT-ND,SMTB-0927-TW-R,,,
"CSTL_C1, CSTL_C2",2,16pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,smt,399-CBR06C160F5GACCT-ND,,,,
D1,1,SZMMSZ4679T1G,D_MiniMELF,,,,smt,SZMMSZ4679T1GOSCT-ND,"18V, 500mW, 5%, Zener diode, MiniMELF",,,
"D2, D3, D4",3,LTST-C170GKT,LTST-C170GKT,,,,smt,160-1179-1-ND,,,,
FB1,1,ILBB0603ER121V,Ferrite_0603,,,,smt,541-2290-1-ND,120 ohm @ 100 MHz,,,
"HOLES1, HOLES2",2,Mounting_holes,Mounting_holes,,,,smt,,,,,
HOLES3,1,Mounting_holes_big,Mounting_holes_big,,,,smt,,,,,
"IF1, IF2",2,~,CONN10_530481010_MOL,,,,tht,  WM1750-ND,,,,
J1,1,RF2-03E-T-00-50-G,SMA_90deg,,,,tht,  2057-RF2-03E-T-00-50-G-ND,,,,
J2,1,Conn_01x05_Socket,PinHeader_1x05_P2.54mm_Vertical,,,,tht,,,,,
J3,1,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,"Generic connector, single row, 01x02, script generated",,,
J4,1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,,,,tht,,,,,
JP1,1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,tht,,,,,
"LED_R1, LED_R2, LED_R3, PWR_R1, PWR_R2, PWR_R3, PWR_R4",7,145R,R_1206_3216Metric,,,,smt,2019-RN73H2BTTD1450F100CT-ND,,,,
"LLS_C1, LLS_C2, MLX_C1, MLX_C2, PWR_C4, STM_C1, STM_C3, STM_C4, STM_C5, S_C10, S_C2",11,100nF,C_1206_3216Metric,,,,smt,399-C1206C104K5RACTUCT-ND,,,,
"MLX_A0, MLX_A1",2,jumper,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,tht,,,,,
"MLX_C3, PWR_C3, STM_C8, STM_C9",4,1uF,C_1206_3216Metric,,,,smt,1276-1068-1-ND,,,,
"PWR_C1, STM_C6",2,10uF,C_1206_3216Metric,,,,smt,  2679-AGC1206X6S250-106KXETR-ND,,,,
PWR_C2,1,4.7uF,C_1206_3216Metric,,,,smt,1276-3182-1-ND,,,,
"PWR_C5, S_C7",2,10nF,C_1206_3216Metric,,,,smt,311-1174-1-ND,,,,
"PWR_D1, PWR_D2",2,LTST-C190EKT,LTST-C190EKT,,,,smt,160-1182-1-ND,,,,
PWR_J1,1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,,
PWR_R5,1,100k,R_1206_3216Metric,,,,smt,  541-100KUTR-ND,,,,
Q1,1,MMBT3904,SOT-23,,,,smt,MMBT3904LT1GOSCT-ND,MMBT3904,NPN,GUMMELPOON,1=C 2=B 3=E
Q2,1,NTR4101PT1G,SOT-23,,,,smt,NTR4101PT1GOSCT-ND,"P-MOSFET transistor, drain/source/gate",PMOS,VDMOS,1=D 2=G 3=S
RF1,1,RFM22B,RFM22b-S2_TH,,,,smt,,,,,
RV1,1,RK09K1130A5R,Potentiometer_Alps_RK09K_Single_Vertical,,,,tht,PTV09A-4025S-A103-ND,RK09K1130A5R,,,
"SW1, SW2, SW3, SW4",4,SW_Push,SW_PUSH_6mm_H4.3mm,,,,tht,  EG1862-ND,,,,
SW5,1,SW_SPDT,CS12ANW03_NKK,,,,tht,360-2131-ND,"Switch, single pole double throw",,,
S_R4,1,10R,R_1206_3216Metric,,,,smt,RMCF1206FT10R0CT-ND,,,,
U1,1,STM32F103RET6,LQFP64-10x10mm,,,,smt,497-6444-ND,,,,
U2,1,NCV5501DT33RKG,DPAK-3_ONS-M,,,,smt,NCV5501DT33RKGOSCT-ND ,,,,
U3,1,NJM2882F05-TE1,SOT-23-5,,,,smt,2129-NJM2882F05-TE1CT-ND,,,,
U4,1,MLX90393SLW-ABA-011-RE,QFN-16_MLX90393_MEL-L,,,,smt,MLX90393SLW-ABA-011-RECT-ND,,,,
U5,1,TXS0102DCUR,SOP50P310X90-8N,,,,smt,  296-21931-2-ND,,,,
Y1,1,CTX853CT-ND,Crystal,,,,smt,CTX853CT-ND,406C35D08M00000,,,
